189.30.190.91,70.42.147.175,382.8,36.0,499.0
189.30.190.91,46.220.64.213,173.9,12.0,50.0
189.30.190.91,53.214.96.134,234.0,34.0,297.0
189.30.190.91,247.116.97.59,24.0,12.0,669.0
189.30.190.91,181.189.91.224,220.2,38.0,412.0
189.30.190.91,76.51.63.115,361.5,39.0,699.0
189.30.190.91,111.139.172.79,460.4,20.0,972.0
189.30.190.91,54.3.58.5,234.6,13.0,612.0
189.30.190.91,188.250.69.168,199.2,31.0,646.0
70.42.147.175,189.30.190.91,382.8,36.0,499.0
70.42.147.175,181.189.91.224,110.0,30.0,124.0
70.42.147.175,76.51.63.115,330.2,26.0,121.0
70.42.147.175,111.139.172.79,449.1,18.0,182.0
70.42.147.175,54.3.58.5,355.6,32.0,882.0
70.42.147.175,188.250.69.168,217.1,11.0,757.0
70.42.147.175,53.214.96.134,461.1,31.0,398.0
46.220.64.213,189.30.190.91,173.9,12.0,50.0
46.220.64.213,181.189.91.224,464.7,28.0,585.0
46.220.64.213,54.3.58.5,332.2,34.0,526.0
46.220.64.213,188.250.69.168,127.9,34.0,300.0
46.220.64.213,111.139.172.79,386.0,12.0,687.0
181.189.91.224,46.220.64.213,464.7,28.0,585.0
181.189.91.224,247.116.97.59,206.5,16.0,944.0
181.189.91.224,189.30.190.91,220.2,38.0,412.0
181.189.91.224,111.139.172.79,300.5,26.0,662.0
181.189.91.224,70.42.147.175,110.0,30.0,124.0
181.189.91.224,188.250.69.168,494.5,13.0,898.0
54.3.58.5,46.220.64.213,332.2,34.0,526.0
54.3.58.5,53.214.96.134,183.4,22.0,659.0
54.3.58.5,247.116.97.59,380.9,26.0,899.0
54.3.58.5,76.51.63.115,128.5,11.0,759.0
54.3.58.5,189.30.190.91,234.6,13.0,612.0
54.3.58.5,111.139.172.79,483.4,35.0,308.0
54.3.58.5,188.250.69.168,405.4,24.0,772.0
54.3.58.5,70.42.147.175,355.6,32.0,882.0
188.250.69.168,46.220.64.213,127.9,34.0,300.0
188.250.69.168,53.214.96.134,20.4,37.0,467.0
188.250.69.168,181.189.91.224,494.5,13.0,898.0
188.250.69.168,76.51.63.115,303.0,32.0,884.0
188.250.69.168,54.3.58.5,405.4,24.0,772.0
188.250.69.168,70.42.147.175,217.1,11.0,757.0
188.250.69.168,189.30.190.91,199.2,31.0,646.0
111.139.172.79,46.220.64.213,386.0,12.0,687.0
111.139.172.79,53.214.96.134,197.2,11.0,503.0
111.139.172.79,247.116.97.59,225.1,10.0,718.0
111.139.172.79,181.189.91.224,300.5,26.0,662.0
111.139.172.79,76.51.63.115,247.1,40.0,616.0
111.139.172.79,70.42.147.175,449.1,18.0,182.0
111.139.172.79,189.30.190.91,460.4,20.0,972.0
111.139.172.79,54.3.58.5,483.4,35.0,308.0
53.214.96.134,111.139.172.79,197.2,11.0,503.0
53.214.96.134,54.3.58.5,183.4,22.0,659.0
53.214.96.134,188.250.69.168,20.4,37.0,467.0
53.214.96.134,189.30.190.91,234.0,34.0,297.0
53.214.96.134,76.51.63.115,58.4,34.0,362.0
53.214.96.134,247.116.97.59,239.4,17.0,837.0
53.214.96.134,70.42.147.175,461.1,31.0,398.0
76.51.63.115,53.214.96.134,58.4,34.0,362.0
76.51.63.115,247.116.97.59,416.3,40.0,333.0
76.51.63.115,54.3.58.5,128.5,11.0,759.0
76.51.63.115,188.250.69.168,303.0,32.0,884.0
76.51.63.115,189.30.190.91,361.5,39.0,699.0
76.51.63.115,70.42.147.175,330.2,26.0,121.0
76.51.63.115,111.139.172.79,247.1,40.0,616.0
247.116.97.59,76.51.63.115,416.3,40.0,333.0
247.116.97.59,189.30.190.91,24.0,12.0,669.0
247.116.97.59,54.3.58.5,380.9,26.0,899.0
247.116.97.59,111.139.172.79,225.1,10.0,718.0
247.116.97.59,53.214.96.134,239.4,17.0,837.0
247.116.97.59,181.189.91.224,206.5,16.0,944.0
